|6.6.6
bulk_TMMFequ_1.tab                                                                                  
           2
T(K)    
   300.00000000000000     
   36.842105263157897     
          20
P(bar)  
   1.0000000000000000     
   157.84210526315789     
          20
           6
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        vp/vs         
  300.0000       1.000000       3257.926       7.379177       4.173719       1.768010    
  336.8421       1.000000       3060.603       7.060778       3.923906       1.799426    
  373.6842       1.000000       3047.545       7.019904       3.893148       1.803143    
  410.5263       1.000000       3033.821       6.977854       3.861975       1.806810    
  447.3684       1.000000       3031.033       6.960288       3.851632       1.807101    
  484.2105       1.000000       3027.935       6.941724       3.841064       1.807240    
  521.0526       1.000000       3005.459       6.886935       3.799414       1.812631    
  557.8947       1.000000       3003.239       6.871288       3.791522       1.812277    
  594.7368       1.000000       3000.870       6.855632       3.783642       1.811913    
  631.5789       1.000000       2998.544       6.839998       3.775936       1.811471    
  668.4211       1.000000       2996.101       6.824340       3.768245       1.811013    
  705.2632       1.000000       2993.579       6.808647       3.760593       1.810525    
  742.1053       1.000000       2990.985       6.792927       3.752989       1.810004    
  778.9474       1.000000       2988.318       6.777141       3.745381       1.809466    
  815.7895       1.000000       2985.653       6.761622       3.737265       1.809243    
  852.6316       1.000000       2982.864       6.746439       3.727835       1.809747    
  889.4737       1.000000       2980.022       6.731173       3.718342       1.810262    
  926.3158       1.000000       2977.143       6.715821       3.708792       1.810784    
  963.1579       1.000000       2974.213       6.700371       3.699166       1.811319    
  1000.000       1.000000       2971.296       6.684852       3.689538       1.811840    
  300.0000       158.8421       3259.770       7.383603       4.176561       1.767867    
  336.8421       158.8421       3246.600       7.349301       4.151245       1.770385    
  373.6842       158.8421       3051.997       7.031196       3.902265       1.801824    
  410.5263       158.8421       3034.406       6.980520       3.863939       1.806581    
  447.3684       158.8421       3031.644       6.963047       3.853629       1.806881    
  484.2105       158.8421       3028.643       6.945033       3.843178       1.807106    
  521.0526       158.8421       3006.124       6.889621       3.801471       1.812357    
  557.8947       158.8421       3003.954       6.874000       3.793638       1.811981    
  594.7368       158.8421       3001.661       6.858363       3.785827       1.811589    
  631.5789       158.8421       2999.279       6.842722       3.778061       1.811173    
  668.4211       158.8421       2996.839       6.827074       3.770375       1.810715    
  705.2632       158.8421       2994.327       6.811386       3.762725       1.810227    
  742.1053       158.8421       2991.743       6.795664       3.755113       1.809709    
  778.9474       158.8421       2989.114       6.779908       3.747556       1.809155    
  815.7895       158.8421       2986.438       6.764396       3.739422       1.808941    
  852.6316       158.8421       2983.633       6.749210       3.729975       1.809452    
  889.4737       158.8421       2980.772       6.733945       3.720466       1.809974    
  926.3158       158.8421       2977.911       6.718609       3.710942       1.810486    
  963.1579       158.8421       2974.995       6.703171       3.701335       1.811014    
  1000.000       158.8421       2972.072       6.687658       3.691706       1.811536    
  300.0000       316.6842       3261.502       7.387829       4.179231       1.767748    
  336.8421       316.6842       3248.839       7.354346       4.154519       1.770204    
  373.6842       316.6842       3055.847       7.041126       3.910286       1.800668    
  410.5263       316.6842       3034.973       6.982992       3.865953       1.806280    
  447.3684       316.6842       3032.250       6.965808       3.855644       1.806652    
  484.2105       316.6842       3029.264       6.947845       3.845220       1.806879    
  521.0526       316.6842       3006.804       6.892372       3.803270       1.812222    
  557.8947       316.6842       3004.672       6.876709       3.795755       1.811684    
  594.7368       316.6842       3002.356       6.861068       3.787910       1.811307    
  631.5789       316.6842       3000.024       6.845456       3.780208       1.810868    
  668.4211       316.6842       2997.584       6.829804       3.772504       1.810417    
  705.2632       316.6842       2995.078       6.814126       3.764862       1.809927    
  742.1053       316.6842       2992.504       6.798409       3.757252       1.809410    
  778.9474       316.6842       2989.878       6.782658       3.749690       1.808858    
  815.7895       316.6842       2987.208       6.767156       3.741555       1.808648    
  852.6316       316.6842       2984.404       6.751982       3.732118       1.809156    
  889.4737       316.6842       2981.561       6.736728       3.722627       1.809670    
  926.3158       316.6842       2978.686       6.721393       3.713091       1.810188    
  963.1579       316.6842       2975.757       6.705959       3.703477       1.810720    
  1000.000       316.6842       2972.838       6.690453       3.693854       1.811239    
  300.0000       474.5263       3263.160       7.391959       4.181877       1.767618    
  336.8421       474.5263       3250.930       7.359172       4.157710       1.770006    
  373.6842       474.5263       3059.552       7.050707       3.918009       1.799564    
  410.5263       474.5263       3039.858       6.995215       3.875816       1.804837    
  447.3684       474.5263       3032.854       6.968539       3.857653       1.806419    
  484.2105       474.5263       3029.879       6.950621       3.847255       1.806644    
  521.0526       474.5263       3026.530       6.931368       3.836631       1.806629    
  557.8947       474.5263       3005.395       6.879390       3.797869       1.811382    
  594.7368       474.5263       3003.120       6.863776       3.790078       1.810985    
  631.5789       474.5263       3000.763       6.848153       3.782333       1.810563    
  668.4211       474.5263       2998.334       6.832510       3.774639       1.810110    
