|6.6.6
bulk_TMMFmet_1.tab                                                                                  
           2
T(K)    
   300.00000000000000     
   125.00000000000000     
           5
P(bar)  
   1000.0000000000000     
   1500.0000000000000     
           5
           6
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        vp/vs         
  300.0000       1000.000       3267.969       7.404538       4.189818       1.767270    
  425.0000       1000.000       3050.918       7.019750       3.896680       1.801469    
  550.0000       1000.000       3026.100       6.926591       3.835259       1.806029    
  675.0000       1000.000       3000.391       6.838797       3.780288       1.809068    
  800.0000       1000.000       2991.768       6.785537       3.754831       1.807148    
  300.0000       2500.000       3277.425       7.428599       4.208818       1.765008    
  425.0000       2500.000       3246.541       7.337986       4.144227       1.770653    
  550.0000       2500.000       3041.840       6.974250       3.871680       1.801350    
  675.0000       2500.000       3020.064       6.888736       3.819657       1.803496    
  800.0000       2500.000       2999.477       6.811625       3.775251       1.804284    
  300.0000       4000.000       3284.503       7.453458       4.224724       1.764247    
  425.0000       4000.000       3265.806       7.383077       4.173699       1.768953    
  550.0000       4000.000       3211.122       7.268096       4.100596       1.772449    
  675.0000       4000.000       3047.920       6.948856       3.877612       1.792045    
  800.0000       4000.000       3012.312       6.835782       3.805898       1.796102    
  300.0000       5500.000       3290.005       7.471142       4.239821       1.762136    
  425.0000       5500.000       3277.691       7.412476       4.196667       1.766277    
  550.0000       5500.000       3243.992       7.332582       4.145828       1.768665    
  675.0000       5500.000       3164.385       7.191904       4.058169       1.772204    
  800.0000       5500.000       3068.377       6.959295       3.901621       1.783693    
  300.0000       7000.000       3295.363       7.489033       4.254513       1.760256    
  425.0000       7000.000       3286.247       7.437230       4.216191       1.763969    
  550.0000       7000.000       3263.439       7.376875       4.177263       1.765959    
  675.0000       7000.000       3217.639       7.295494       4.127665       1.767463    
  800.0000       7000.000       3159.467       7.143063       4.035172       1.770201    
